date,score,phase,n_indicators
2018-07-25,64.5,3,14
2018-07-26,64.5,3,14
2018-07-27,64.5,3,14
2018-07-30,56.5,2,14
2018-07-31,64.5,3,14
2018-08-01,64.5,3,14
2018-08-02,49.5,2,14
2018-08-03,49.5,2,14
2018-08-06,49.5,2,14
2018-08-07,49.5,2,14
2018-08-08,49.5,2,14
2018-08-09,49.5,2,14
2018-08-10,49.5,2,14
2018-08-13,49.5,2,14
2018-08-14,49.5,2,14
2018-08-15,53.0,2,14
2018-08-16,53.0,2,14
2018-08-17,53.0,2,14
2018-08-20,53.0,2,14
2018-08-21,53.0,2,14
2018-08-22,53.0,2,14
2018-08-23,53.0,2,14
2018-08-24,53.0,2,14
2018-08-27,68.0,3,14
2018-08-28,68.0,3,14
2018-08-29,68.0,3,14
2018-08-30,68.0,3,14
2018-08-31,53.0,2,14
2018-09-04,45.0,2,14
2018-09-05,53.0,2,14
2018-09-06,53.0,2,14
2018-09-07,53.0,2,14
2018-09-10,53.0,2,14
2018-09-11,53.0,2,14
2018-09-12,68.0,3,14
2018-09-13,68.0,3,14
2018-09-14,68.0,3,14
2018-09-17,68.0,3,14
2018-09-18,68.0,3,14
2018-09-19,68.0,3,14
2018-09-20,68.0,3,14
2018-09-21,68.0,3,14
2018-09-24,68.0,3,14
2018-09-25,68.0,3,14
2018-09-26,68.0,3,14
2018-09-27,53.0,2,14
2018-09-28,53.0,2,14
2018-10-01,53.0,2,14
2018-10-02,53.0,2,14
2018-10-03,53.0,2,14
2018-10-04,53.0,2,14
2018-10-05,53.0,2,14
2018-10-08,53.0,2,14
2018-10-09,53.0,2,14
2018-10-10,53.0,2,14
2018-10-11,53.0,2,14
2018-10-12,53.0,2,14
2018-10-15,53.0,2,14
2018-10-16,53.0,2,14
2018-10-17,53.0,2,14
2018-10-18,53.0,2,14
2018-10-19,53.0,2,14
2018-10-22,53.0,2,14
2018-10-23,53.0,2,14
2018-10-24,60.0,3,14
2018-10-25,53.0,2,14
2018-10-26,53.0,2,14
2018-10-29,53.0,2,14
2018-10-30,53.0,2,14
2018-10-31,53.0,2,14
2018-11-01,53.0,2,14
2018-11-02,53.0,2,14
2018-11-05,53.0,2,14
2018-11-06,45.0,2,14
2018-11-07,45.0,2,14
2018-11-08,45.0,2,14
2018-11-09,45.0,2,14
2018-11-12,45.0,2,14
2018-11-13,45.0,2,14
2018-11-14,53.0,2,14
2018-11-15,53.0,2,14
2018-11-16,53.0,2,14
2018-11-19,53.0,2,14
2018-11-20,53.0,2,14
2018-11-21,53.0,2,14
2018-11-23,53.0,2,14
2018-11-26,69.0,3,14
2018-11-27,69.0,3,14
2018-11-28,53.0,2,14
2018-11-29,53.0,2,14
2018-11-30,69.0,3,14
2018-12-03,69.0,3,14
2018-12-04,69.0,3,14
2018-12-06,69.0,3,14
2018-12-07,69.0,3,14
2018-12-10,69.0,3,14
2018-12-11,69.0,3,14
2018-12-12,69.0,3,14
2018-12-13,69.0,3,14
2018-12-14,69.0,3,14
2018-12-17,69.0,3,14
2018-12-18,76.0,3,14
2018-12-19,76.0,3,14
2018-12-20,76.0,3,14
2018-12-21,76.0,3,14
2018-12-24,89.25,3,14
2018-12-26,76.0,3,14
2018-12-27,76.0,3,14
2018-12-28,76.0,3,14
2018-12-31,76.0,3,14
2019-01-02,69.0,3,14
2019-01-03,76.0,3,14
2019-01-04,69.0,3,14
2019-01-07,69.0,3,14
2019-01-08,69.0,3,14
2019-01-09,69.0,3,14
2019-01-10,69.0,3,14
2019-01-11,69.0,3,14
2019-01-14,69.0,3,14
2019-01-15,69.0,3,14
2019-01-16,69.0,3,14
2019-01-17,69.0,3,14
2019-01-18,69.0,3,14
2019-01-22,69.0,3,14
2019-01-23,69.0,3,14
2019-01-24,69.0,3,14
2019-01-25,69.0,3,14
2019-01-28,69.0,3,14
2019-01-29,69.0,3,14
2019-01-30,69.0,3,14
2019-01-31,69.0,3,14
2019-02-01,72.5,3,14
2019-02-04,72.5,3,14
2019-02-05,72.5,3,14
2019-02-06,72.5,3,14
2019-02-07,72.5,3,14
2019-02-08,72.5,3,14
2019-02-11,72.5,3,14
2019-02-12,72.5,3,14
2019-02-13,72.5,3,14
2019-02-14,72.5,3,14
2019-02-15,72.5,3,14
2019-02-19,56.5,2,14
2019-02-20,60.5,3,14
2019-02-21,60.5,3,14
2019-02-22,60.5,3,14
2019-02-25,60.5,3,14
2019-02-26,60.5,3,14
2019-02-27,56.5,2,14
2019-02-28,56.5,2,14
2019-03-01,56.5,2,14
2019-03-04,56.5,2,14
2019-03-05,56.5,2,14
2019-03-06,56.5,2,14
2019-03-07,56.5,2,14
2019-03-08,56.5,2,14
2019-03-11,56.5,2,14
2019-03-12,56.5,2,14
2019-03-13,56.5,2,14
2019-03-14,56.5,2,14
2019-03-15,56.5,2,14
2019-03-18,56.5,2,14
2019-03-19,56.5,2,14
2019-03-20,60.5,3,14
2019-03-21,60.5,3,14
2019-03-22,60.5,3,14
2019-03-25,60.5,3,14
2019-03-26,60.5,3,14
2019-03-27,60.5,3,14
2019-03-28,60.5,3,14
2019-03-29,60.5,3,14
2019-04-01,64.5,3,14
2019-04-02,56.5,2,14
2019-04-03,56.5,2,14
2019-04-04,56.5,2,14
2019-04-05,56.5,2,14
2019-04-08,56.5,2,14
2019-04-09,56.5,2,14
2019-04-10,56.5,2,14
2019-04-11,56.5,2,14
2019-04-12,56.5,2,14
2019-04-15,56.5,2,14
2019-04-16,56.5,2,14
2019-04-17,56.5,2,14
2019-04-18,56.5,2,14
2019-04-22,56.5,2,14
2019-04-23,49.5,2,14
2019-04-24,56.5,2,14
2019-04-25,56.5,2,14
2019-04-26,56.5,2,14
2019-04-29,56.5,2,14
2019-04-30,56.5,2,14
2019-05-01,52.5,2,14
2019-05-02,52.5,2,14
2019-05-03,45.5,2,14
2019-05-06,45.5,2,14
2019-05-07,45.5,2,14
2019-05-08,45.5,2,14
2019-05-09,45.5,2,14
2019-05-10,45.5,2,14
2019-05-13,45.5,2,14
2019-05-14,45.5,2,14
2019-05-15,45.5,2,14
2019-05-16,45.5,2,14
2019-05-17,45.5,2,14
2019-05-20,45.5,2,14
2019-05-21,45.5,2,14
2019-05-22,45.5,2,14
2019-05-23,45.5,2,14
2019-05-24,45.5,2,14
2019-05-28,45.5,2,14
2019-05-29,45.5,2,14
2019-05-30,45.5,2,14
2019-05-31,45.5,2,14
2019-06-03,45.5,2,14
2019-06-04,45.5,2,14
2019-06-05,45.5,2,14
2019-06-06,45.5,2,14
2019-06-07,45.5,2,14
2019-06-10,45.5,2,14
2019-06-11,45.5,2,14
2019-06-12,45.5,2,14
2019-06-13,45.5,2,14
2019-06-14,45.5,2,14
2019-06-17,45.5,2,14
2019-06-18,45.5,2,14
2019-06-19,45.5,2,14
2019-06-20,45.5,2,14
2019-06-21,45.5,2,14
2019-06-24,45.5,2,14
2019-06-25,45.5,2,14
2019-06-26,45.5,2,14
2019-06-27,45.5,2,14
2019-06-28,45.5,2,14
2019-07-01,56.5,2,14
2019-07-02,56.5,2,14
2019-07-03,49.5,2,14
2019-07-05,56.5,2,14
2019-07-08,49.5,2,14
2019-07-09,49.5,2,14
2019-07-10,49.5,2,14
2019-07-11,49.5,2,14
2019-07-12,49.5,2,14
2019-07-15,56.5,2,14
2019-07-16,56.5,2,14
2019-07-17,56.5,2,14
2019-07-18,56.5,2,14
2019-07-19,56.5,2,14
2019-07-22,56.5,2,14
2019-07-23,56.5,2,14
2019-07-24,56.5,2,14
2019-07-25,56.5,2,14
2019-07-26,56.5,2,14
2019-07-29,56.5,2,14
2019-07-30,56.5,2,14
2019-07-31,56.5,2,14
2019-08-01,56.5,2,14
2019-08-02,56.5,2,14
2019-08-05,49.5,2,14
2019-08-06,49.5,2,14
2019-08-07,49.5,2,14
2019-08-08,49.5,2,14
2019-08-09,49.5,2,14
2019-08-12,49.5,2,14
2019-08-13,56.5,2,14
2019-08-14,56.5,2,14
2019-08-15,56.5,2,14
2019-08-16,56.5,2,14
2019-08-19,56.5,2,14
2019-08-20,56.5,2,14
2019-08-21,56.5,2,14
2019-08-22,56.5,2,14
2019-08-23,56.5,2,14
2019-08-26,56.5,2,14
2019-08-27,56.5,2,14
2019-08-28,56.5,2,14
2019-08-29,56.5,2,14
2019-08-30,56.5,2,14
2019-09-03,56.5,2,14
2019-09-04,56.5,2,14
2019-09-05,56.5,2,14
2019-09-06,56.5,2,14
2019-09-09,56.5,2,14
2019-09-10,56.5,2,14
2019-09-11,56.5,2,14
2019-09-12,56.5,2,14
2019-09-13,56.5,2,14
2019-09-16,56.5,2,14
2019-09-17,56.5,2,14
2019-09-18,52.5,2,14
2019-09-19,52.5,2,14
2019-09-20,52.5,2,14
2019-09-23,52.5,2,14
2019-09-24,60.5,3,14
2019-09-25,60.5,3,14
2019-09-26,60.5,3,14
2019-09-27,60.5,3,14
2019-09-30,60.5,3,14
2019-10-01,60.5,3,14
2019-10-02,60.5,3,14
2019-10-03,60.5,3,14
2019-10-04,60.5,3,14
2019-10-07,60.5,3,14
2019-10-08,60.5,3,14
2019-10-09,60.5,3,14
2019-10-10,60.5,3,14
2019-10-11,60.5,3,14
2019-10-14,60.5,3,14
2019-10-15,60.5,3,14
2019-10-16,60.5,3,14
2019-10-17,60.5,3,14
2019-10-18,60.5,3,14
2019-10-21,60.5,3,14
2019-10-22,60.5,3,14
2019-10-23,57.0,2,14
2019-10-24,57.0,2,14
2019-10-25,57.0,2,14
2019-10-28,49.0,2,14
2019-10-29,49.0,2,14
2019-10-30,49.0,2,14
2019-10-31,49.0,2,14
2019-11-01,49.0,2,14
2019-11-04,49.0,2,14
2019-11-05,49.0,2,14
2019-11-06,49.0,2,14
2019-11-07,49.0,2,14
2019-11-08,57.0,2,14
2019-11-11,57.0,2,14
2019-11-12,57.0,2,14
2019-11-13,57.0,2,14
